datum,vizszint,kut_nev,torzsszam
2025-01-01,6.07,Sátorhely,4576
2025-01-02,6.07,Sátorhely,4576
2025-01-02,6.06,Sátorhely,4576
2025-01-02,6.06,Sátorhely,4576
2025-01-02,6.06,Sátorhely,4576
2025-01-02,6.05,Sátorhely,4576
2025-01-02,6.04,Sátorhely,4576
2025-01-03,6.04,Sátorhely,4576
2025-01-03,6.04,Sátorhely,4576
2025-01-03,6.04,Sátorhely,4576
2025-01-03,6.04,Sátorhely,4576
2025-01-03,6.04,Sátorhely,4576
2025-01-03,6.03,Sátorhely,4576
2025-01-04,6.03,Sátorhely,4576
2025-01-04,6.03,Sátorhely,4576
2025-01-04,6.03,Sátorhely,4576
2025-01-04,6.03,Sátorhely,4576
2025-01-04,6.03,Sátorhely,4576
2025-01-04,6.03,Sátorhely,4576
2025-01-05,6.02,Sátorhely,4576
2025-01-05,6.02,Sátorhely,4576
2025-01-05,6.02,Sátorhely,4576
2025-01-05,6.01,Sátorhely,4576
2025-01-05,6.01,Sátorhely,4576
2025-01-05,6.01,Sátorhely,4576
2025-01-06,6.0,Sátorhely,4576
2025-01-06,6.0,Sátorhely,4576
2025-01-06,6.0,Sátorhely,4576
2025-01-06,6.0,Sátorhely,4576
2025-01-06,6.0,Sátorhely,4576
2025-01-06,6.0,Sátorhely,4576
2025-01-07,5.99,Sátorhely,4576
2025-01-07,5.99,Sátorhely,4576
2025-01-07,5.99,Sátorhely,4576
2025-01-07,5.99,Sátorhely,4576
2025-01-07,5.99,Sátorhely,4576
2025-01-07,5.99,Sátorhely,4576
2025-01-08,5.99,Sátorhely,4576
2025-01-08,5.99,Sátorhely,4576
2025-01-08,5.99,Sátorhely,4576
2025-01-08,5.98,Sátorhely,4576
2025-01-08,5.98,Sátorhely,4576
2025-01-08,5.98,Sátorhely,4576
2025-01-09,5.98,Sátorhely,4576
2025-01-09,5.98,Sátorhely,4576
2025-01-09,5.98,Sátorhely,4576
2025-01-09,5.98,Sátorhely,4576
2025-01-09,5.97,Sátorhely,4576
2025-01-09,5.97,Sátorhely,4576
2025-01-10,5.97,Sátorhely,4576
2025-01-10,5.97,Sátorhely,4576
2025-01-10,5.98,Sátorhely,4576
2025-01-10,5.98,Sátorhely,4576
2025-01-10,5.97,Sátorhely,4576
2025-01-10,5.97,Sátorhely,4576
2025-01-11,5.97,Sátorhely,4576
2025-01-11,5.97,Sátorhely,4576
2025-01-11,5.97,Sátorhely,4576
2025-01-11,5.97,Sátorhely,4576
2025-01-11,5.96,Sátorhely,4576
2025-01-11,5.96,Sátorhely,4576
